N_SOIL,P_SOIL,K_SOIL,TEMPERATURE,HUMIDITY,ph,RAINFALL,STATE,CROP_PRICE,CROP
0.5428571428571428,0.2785714285714286,0.06,0.332603074815371,0.5633929899884719,0.3655624222126477,0.161907322753957,0.2,0.050817513625227,0.5238095238095237
0.13007730661039868,0.058623630051180334,0.13770906556631055,0.527484113908865,0.9456015629744937,0.38276612534900417,0.5976199063423346,0.92,0.01210171262292877,0.1904761904761904
0.2920395062508528,0.4568158025003411,0.384427654375597,0.3202388901848663,0.028486866410527292,0.5008826033702375,0.1760462550450923,0.27908424700095524,0.023127224154975548,0.1428571428571428
0.3542339731655851,0.42179218192573037,0.0992364179559661,0.5773408642309519,0.5719884603673798,0.505632143402756,0.18007956758046284,0.48,0.0019257700565131434,0.0952380952380952
0.5667966963174396,0.24831180795236546,0.16087884371110386,0.3878829512725075,0.793399871340946,0.5244274107997406,0.6841959746151063,0.06351537484441548,0.02949889274822328,0.9523809523809524
0.2642857142857143,0.5142857142857142,0.075,0.4909105908464792,0.6351476184870037,0.5560755057778595,0.1106972788164171,0.52,0.0208170136168936,0.4761904761904761
0.08914712337719875,0.9477158855521637,0.9814001866477524,0.788426962410458,0.8230655614941844,0.3317003266307738,0.22176719987865068,0.8336044795460588,0.05826485358525238,0.23998755681650352
0.7695016250986184,0.27239204459354793,0.07955037918967764,0.43804834727981723,0.7890786724811013,0.4953043842774662,0.24406926848993632,0.92,0.006423107235184964,0.2857142857142857
0.19690581632661341,0.2275540166975806,0.12286343506491926,0.7304628040042012,0.4080622399238619,0.4082247199926981,0.2737614385063457,0.72,0.004888456366046895,0.5714285714285714
0.06920731914223638,0.4406549437677408,0.05345846063741843,0.7269465944426953,0.21391471183103833,0.43386561583525235,0.5108464503489983,0.4,0.0172602024752744,0.8571428571428571
0.0999999999999999,0.0999999999999999,0.045,0.2541882183566236,0.9343972141321414,0.4967720849732646,0.3156203056722935,0.92,0.0049000816680278,0.7619047619047619
0.13061485120276042,0.3670885788536922,0.07580379948024152,0.553819326704154,0.8313691915760467,0.4507744855052886,0.07604767993476154,0.40643039584193236,0.01566134283975178,0.6666666666666666
0.15,0.4142857142857143,0.0849999999999999,0.4669091535167474,0.6237511225611716,0.5216921654780913,0.1954570008251742,0.48,0.0351505858430973,0.0952380952380952
0.5033777007712068,0.42484188396988776,0.23475370931876616,0.6189500370264784,0.9199212423184822,0.47791159867662214,0.19859469159547946,0.9192118698200518,0.006399691190868563,0.8085855593095854
0.2733854135690947,0.2951074687265282,0.06575347366775582,0.6329584249897106,0.3719133469859023,0.5253537432994034,0.12980887012323097,0.4,0.0394589149457258,0.6190476190476191
0.6346637552397285,0.28003099458595043,0.16434598945592974,0.4634679139770978,0.7936941133364579,0.48675721581553705,0.6224081814964226,0.09068113080677685,0.0075969817508252544,0.9523809523809524
0.48803544114364145,0.29594399461190873,0.19216079622833612,0.5027728510816089,0.7898829022212279,0.6735460115377386,0.9077462391939837,0.08,0.01577226391874967,0.9523809523809524
